"DateID","Date","DateComment","YearID","SeasonID","s_ColLineage","s_Generation","s_GUID","s_Lineage"
-2084202334,"2015-07-14 00:00:00","overcast, N wind, mid swell",15,3,,0,,
-48866455,"2015-07-16 00:00:00","low swell, partly cloudy. w/ Celeste Moen",15,3,,0,,
-1474968726,"2015-07-18 00:00:00","cleark sky, mid swell, water has turned to pea soup.  1 gull on arrival",15,3,,0,,
1161497028,"2015-08-01 00:00:00","Foggy, N wind, mid swell",15,3,,0,,
1445859952,"2015-08-12 00:00:00","Major sand intrustion, not on bench, but beaches are high right to below bench.  0 birds on arrival. Very low swell, no waves.",15,3,,0,,
-1337393634,"2015-08-28 00:00:00","overcast and drizzle, low waves and swell.",15,3,,0,,
1094426441,"2015-09-29 00:00:00","Strong southern wind, mid swell, 14 gulls on arrival",15,4,,0,,
1446145040,"2015-10-28 00:00:00","overcast, fog, S wind, mid-high swell. 9 gulls on arrival",15,4,,0,,
1448810155,"2015-11-24 00:00:00","cold, cloudy sky, very large swell and waves.  3 gulls on arrival",15,4,,0,,
131629654,"2016-01-21 00:00:00","Large swell and waves, intermittent rain, southwind.  0 birds on arrival.  Large log at top of beach has been moved by waves!",16,1,,0,,
1455037365,"2016-02-08 00:00:00","Clear sky, very warm, very large waves, south wind.  0 birds on arrival.  A fair number of new patches all over.  Many experimental patches are covered in diatoms and filamentous algae.",16,1,,0,,
1462225369,"2016-03-07 00:00:00","Partial survey.  Abandoned due to swell.  Partly cloudy but intermittent hard rain forecast.  South wind, large swell.  Lots of patches have high algal cover.",16,2,,0,,
1489438580,"2016-04-09 00:00:00","Breeze from North, overcast, midswell, 1 gull. Channel has been scoured out ~4m deeper back to boulders.  Pale green Antho exposed.  Barnacles at N end of site scoured away to bare rock on large scale.",16,2,,0,,
17154489,"2016-04-10 00:00:00","overcast, low swell, 0 gulls",16,2,,0,,
-532171790,"2016-04-11 00:00:00","low swell, no waves, overcast.  1 gull on arrival",16,2,,0,,
1491255959,"2016-05-06 00:00:00","clear sky, cold, mid-swell, low waves. No gulls",16,2,,0,,
-1568194512,"2016-05-07 00:00:00","Overcast, N wind, cold, mid-swell and waves. No gulls on arrival.",16,2,,0,,
-590167200,"2016-05-09 00:00:00","Partly cloudy, large swell. No birds",16,2,,0,,
1492705079,"2016-06-06 00:00:00","overcast, wind from N, low waves, mid swell.  No birds",16,3,,0,,
1766039412,"2016-06-07 00:00:00","overcast (light fog), low swell, N wind. No gulls.",16,3,,0,,
1493917660,"2016-06-08 00:00:00","overcast fog, N breeze, low swell",16,3,,0,,
-2100708983,"2016-07-04 00:00:00","clear sky, mid swell. No birds.",16,3,,0,,
1517541594,"2016-07-05 00:00:00","Clear sky, mid swell. 0 birds",16,3,,0,,
1950626412,"2016-07-06 00:00:00","clear sky, low swell. No  birds.",16,3,,0,,
1495734842,"2016-07-07 00:00:00","Very calm, little swell, overcast fog, light drizzle. 1 gull on arrival.",16,4,,0,,
1074185641,"2016-08-01 00:00:00","Clear sky, low swell. No birds on arrival.",16,3,,0,,
1311822517,"2016-08-02 00:00:00","Low swell, overcast and foggy.  No birds.",16,3,,0,,
-830472459,"2016-08-03 00:00:00","clear cold day, low swell. No birds.",16,3,,0,,
232471418,"2016-08-29 00:00:00","overcast, low swell, south breeze.  No birds.",16,3,,0,,
-1584601446,"2016-08-30 00:00:00","overcast, low swell, South breeze. No gulls",16,3,,0,,
-810670891,"2016-08-31 00:00:00","overcast, warm, low swell. No birds (They arrived after sunrise, as usual).",16,4,,0,,
1496259347,"2016-10-18 00:00:00","A few days after a big storm. South breeze, large swell, partly cloudy.  No birds.",16,4,,0,,
-1818190468,"2016-10-19 00:00:00",,16,4,,0,,
-1900903178,"2014-06-23 00:00:00","fog, moderate swell, low breeze",14,3,,325,,
-768176153,"2014-06-24 00:00:00","moderate waves, clear sky, warm",14,3,,325,,
1603413257,"2014-06-25 00:00:00","very low swel (""calm"")l, fog, light breeze",14,3,,325,,
-1786682535,"2014-07-24 00:00:00","Intermittent rain, windy, moderate swell; new recruitment of Bg",14,3,,325,,
225850791,"2014-07-25 00:00:00","clear sunny morning, low waves & swell",14,3,,325,,
-916570024,"2014-07-27 00:00:00","partly cloudy, breeze, low waves and swell. No birds",14,3,,325,,
716130605,"2014-07-28 00:00:00","fog, breeze, low swell and waves. Zero birds. Water is still brown (as it has been all week).",14,3,,325,,
-328511718,"2014-08-08 00:00:00","clear sky, low waves. Painted whelks",14,3,,325,,
-1133624429,"2014-08-09 00:00:00","clear sky, low swell and waves. Painted whelks.",14,3,,325,,
1977086680,"2014-08-14 00:00:00","partly cloudy, mid-swell. Resurveyed painted whelks",14,3,,325,,
958644217,"2014-09-07 00:00:00","thick fog, mid swell.  Barnacles have grown significantly.  Diatom halos visible.  A few Mt patches have been ripped out.",14,4,,325,,
-136811825,"2014-09-08 00:00:00","foggy w/ breeze, low swell.",14,4,,325,,
1783136716,"2014-09-09 00:00:00","clear moonlit sky, very low swell, light breeze",14,4,,325,,
-495205557,"2014-10-07 00:00:00","heavy fog, low swell, no waves, cold.  9 gull on arrival",14,4,,325,,
-2109077705,"2015-07-29 00:00:00","Clear sky, N wind, mid swell",15,3,,0,,
1681829548,"2015-07-30 00:00:00","Clear sky, mid swell",15,3,,0,,
1056128061,"2015-08-08 00:00:00",,15,3,,331,,
924869818,"2015-08-02 00:00:00","Foggy, N breeze, low swell",15,3,,0,,
1547505411,"2014-10-09 00:00:00","foggy, low swell, no waves, 6 gulls; several new small patches (<50cm2)",14,4,,325,,
563360623,"2014-10-13 00:00:00","saw river otter on arrival",14,4,,325,,
-1341447371,"2014-11-06 00:00:00","partly cloudy, mid swell, low waves. 24 gulls on arrival",14,4,,325,,
1220371481,"2014-11-07 00:00:00","clear sky, low waves, mid swell. 3 gulls on arrival",14,4,,325,,
1620488425,"2014-12-04 00:00:00","overcast w/ intermittent rain, low waves, mid swell. 2 gulls on arrival.",14,1,,325,,
-894537994,"2014-12-05 00:00:00","rain, low swell and waves, wind from South. 0 gulls on arrival.",14,1,,325,,
1399455452,"2014-12-06 00:00:00","clear sky, low waves and swell, wind from South.  0 gulls",14,1,,325,,
1590016841,"2014-12-08 00:00:00","strong south wind, mid swell and waves; 0 gulls on arrival",14,1,,325,,
-748867098,"2015-01-18 00:00:00","strong south wind, partly cloudy, large waves & swell.  Has been raining heavily. Rivers running high. 0 birds on arrival.",15,1,,325,,
-1797996187,"2015-01-19 00:00:00","sunny, large swell and waves; 0 birds on arrival",15,1,,325,,
-1917616899,"2015-02-17 00:00:00","south wind, cloudy, low waves and swell. 0 birds.",15,1,,325,,
957892218,"2015-02-18 00:00:00","overcast, light breeze, no waves, low swell. 0 birds.",15,1,,325,,
-1744908505,"2015-02-19 00:00:00","partly cloudy, low swell, no waves, wind from north. 0 birds.",15,1,,325,,
-38057226,"2015-02-20 00:00:00","strong N wind, mid swell & waves, partily cloudy. 0 gulls",15,1,,325,,
185120416,"2015-03-17 00:00:00","rain, low swell, wind from south. 2 gulls",15,2,,325,,
1285282337,"2015-03-18 00:00:00","clear sunny sky, wind from N, mid swell. 1 gull.",15,2,,325,,
-689717798,"2015-04-19 00:00:00","clear cold night, moderate swell, breeze from N.",15,2,,325,,
-1448157238,"2015-04-20 00:00:00","fog, moderate waves & swell. 0 birds",15,2,,325,,
-1542172009,"2015-04-21 00:00:00","overcast, wind from N, mid swell. 0 birds",15,2,,325,,
-1286241928,"2015-07-31 00:00:00","Clear sky, mid swell",15,3,,0,,
1441310792,"2015-05-18 00:00:00","Cloudy, low waves, mid swell, 0 birds, 2 crows arrived later",15,3,,0,,
212863512,"2015-05-19 00:00:00","partly cloudy, mid swell, low waves, 0 birds, 2 crows arrived later",15,3,,0,,
1144922034,"2015-05-21 00:00:00","rain, low swell and waves, 0 birds. 2 crows arrived later",15,3,,0,,
